"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
1,1,0.999999997341876,7.29521265307527e-44,1.73856045322054e-17,2.65812403358387e-09,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
16,1,0.998358506168449,1.95950076630386e-32,5.86916574190412e-07,0.00164090691497643,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,1,1,7.65230980432634e-46,1.83623925012717e-52,2.02442045976886e-28,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
125,1,1,0,1.61866664655079e-67,9.67914793230451e-31,"Nils Olsen","George Washington University",2002,0,24,1,15
5,1,0.981693406255746,2.04576417848541e-86,2.03849343942432e-18,0.018306593744254,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
43,1,0.998786785883625,7.54906614039034e-32,5.20931082346315e-09,0.0012132089070647,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,1,0.999999999999998,6.72910116594788e-60,9.68981208840228e-25,1.98061345645665e-15,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
116,2,0,1,0,0,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
111,3,6.98264674012276e-52,1.44113011110894e-112,0.999999814703847,1.85296153286419e-07,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
55,3,2.84220123626175e-25,1.65652220698366e-24,0.922611329958539,0.0773886700414609,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
32,3,6.20920163226518e-15,4.02993252667985e-10,0.913297412465153,0.0867025871318478,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
100,3,2.34901512844038e-36,1.11277459453311e-187,0.999584457243132,0.000415542756867625,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,3,1.52082638038036e-52,0,0.999979960189889,2.00398101115001e-05,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,3,6.99461742866857e-13,4.48643559803115e-12,0.758227805305725,0.241772194689089,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
69,3,1.93602519915827e-87,0,1,3.87094851038216e-19,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,3,9.38230586894253e-58,1.680179360095e-177,0.999999992723982,7.27601773903263e-09,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,3,1.45918972813969e-33,5.1530673779983e-29,0.999599677677176,0.000400322322824374,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
67,3,4.98383116325373e-33,1.09719876910758e-79,0.946650100653099,0.0533498993469008,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,3,3.17732939633409e-39,0,0.967466466105042,0.0325335338949584,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
