"faculty_id","class_assignment","posterior_class_1","posterior_class_2","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
1,1,0.999995942080486,4.05791951394456e-06,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
116,1,1,7.87086107466829e-263,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
16,1,0.988304013172788,0.0116959868272121,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,1,1,4.1147929124481e-23,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
43,1,0.991375541085669,0.00862445891433108,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,1,0.999999996000273,3.99972697950638e-09,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
111,2,2.03939746753786e-59,1,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
55,2,3.87523131631074e-12,0.999999999996125,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
32,2,2.02293741583755e-07,0.999999797706258,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
64,2,0,1,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
100,2,7.39919249795494e-108,1,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
74,2,2.40140441792977e-26,1,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,2,0.00377888377359244,0.996221116226408,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
3,2,0,1,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,2,1.66141401519114e-06,0.999998338585985,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
79,2,7.4769523819006e-16,0.999999999999999,"Asia A. Eaton","Florida International University",2012,0,14,2,6
69,2,0,1,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,2,5.91017980318044e-99,1,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,2,8.07617912820354e-19,1,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
34,2,1.1793930013749e-06,0.999998820606999,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,2,7.38179526384567e-154,1,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
67,2,1.48169769356566e-37,1,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
91,2,8.7255452052572e-07,0.99999912744548,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
109,2,0,1,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
70,2,5.94315091322247e-06,0.999994056849087,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
13,2,1.1973565376996e-11,0.999999999988026,"Chris Wiese","Georgia institute of technology",2018,0,8,1,0
10,2,3.89564571303677e-46,1,"Christopher Nye","Michigan State University",2011,0,15,1,0.0666666666666667
7,2,2.29086245155891e-143,1,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
119,2,0,1,"Cindy Pury","Clemson University",1997,0,29,2,0.0344827586206897
101,2,4.05832566365698e-13,0.999999999999594,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
30,2,0.00478163880406274,0.995218361195937,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,2,5.63917673948547e-149,1,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
27,2,9.15633135791967e-05,0.999908436686421,"Daniel Griffin","University of South Florida",2023,0,3,0,3
97,2,2.46777414448116e-08,0.999999975322259,"Danielle Gardner","Colorado State University",2021,0,5,0,0
