"faculty_id","faculty_name","max_observed_career_year","mean_pub_per_year","ever_promoted","first_promotion_career_year","never_asst_prof","years_to_promotion","years_elapsed_to_promotion","event_promoted","time_to_event","censored","class_assignment","trajectory_label","trajectory_ordered"
1,"Bo Zhang",6,14.8333333333333,1,6,FALSE,6,5,1,6,0,3,"Small high-growth","Small high-growth"
2,"Nathan Bowling",21,7.52380952380952,1,6,FALSE,6,5,1,6,0,2,"Moderate-to-high rising","Moderate-to-high rising"
3,"Anita Blanchard",27,2.96296296296296,1,10,FALSE,10,9,1,10,0,4,"Low-to-moderate rising","Low-to-moderate rising"
4,"Kimberly French",8,0,1,8,FALSE,8,7,1,8,0,1,"Very low-output","Very low-output"
5,"Richard Landers",17,10.5882352941176,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
6,"Nathan T. Carter",16,6.75,1,8,FALSE,8,7,1,8,0,2,"Moderate-to-high rising","Moderate-to-high rising"
7,"Chu-Hsiang (Daisy) Chang",21,7.14285714285714,1,9,FALSE,9,8,1,9,0,2,"Moderate-to-high rising","Moderate-to-high rising"
8,"Kevin Ford",43,10.2093023255814,1,6,FALSE,6,5,1,6,0,2,"Moderate-to-high rising","Moderate-to-high rising"
9,"Kevin Hoff",7,5,0,NA,FALSE,NA,NA,0,7,1,2,"Moderate-to-high rising","Moderate-to-high rising"
10,"Christopher Nye",15,0.0666666666666667,1,9,FALSE,9,8,1,9,0,1,"Very low-output","Very low-output"
11,"Quinetta Roberson",27,3,1,7,FALSE,7,6,1,7,0,4,"Low-to-moderate rising","Low-to-moderate rising"
13,"Chris Wiese",8,0,1,8,FALSE,8,7,1,8,0,1,"Very low-output","Very low-output"
14,"Winfred Arthur, Jr.",39,0.0512820512820513,1,8,FALSE,8,7,1,8,0,1,"Very low-output","Very low-output"
15,"Mindy Bergman",25,4.4,1,9,FALSE,9,8,1,9,0,4,"Low-to-moderate rising","Low-to-moderate rising"
16,"Ian Hughes",3,13.3333333333333,0,NA,FALSE,NA,NA,0,3,1,3,"Small high-growth","Small high-growth"
17,"Stephanie C. Payne",26,6.23076923076923,1,8,FALSE,8,7,1,8,0,2,"Moderate-to-high rising","Moderate-to-high rising"
18,"Ze (Mia) Zhu",5,3.6,0,NA,FALSE,NA,NA,0,5,1,2,"Moderate-to-high rising","Moderate-to-high rising"
20,"Isaac Sabat",10,4,1,8,FALSE,8,7,1,8,0,2,"Moderate-to-high rising","Moderate-to-high rising"
21,"Kaylee Litson",3,5,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
22,"Denise Reyes",5,5.2,0,NA,FALSE,NA,NA,0,5,1,2,"Moderate-to-high rising","Moderate-to-high rising"
23,"Xiaowen Chen",5,19.6,0,NA,FALSE,NA,NA,0,5,1,3,"Small high-growth","Small high-growth"
25,"Tammy Allen",30,0.5,1,6,FALSE,6,5,1,6,0,1,"Very low-output","Very low-output"
26,"Michael Gillespie",17,0.176470588235294,1,9,FALSE,9,8,1,9,0,1,"Very low-output","Very low-output"
27,"Daniel Griffin",3,3,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
29,"Steve W. J. Kozlowski",44,4.18181818181818,1,6,FALSE,6,5,1,6,0,4,"Low-to-moderate rising","Low-to-moderate rising"
30,"Claire E. Smith",3,6,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
31,"Stephen Stark",24,5.16666666666667,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
32,"Alexandra Harris-Watson",4,0,0,NA,FALSE,NA,NA,0,4,1,1,"Very low-output","Very low-output"
33,"Franki Y. H. Kung",8,6.875,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
34,"Brooke N. Macnamara",12,7.5,1,6,FALSE,6,5,1,6,0,2,"Moderate-to-high rising","Moderate-to-high rising"
35,"Louis Tay",13,17.8461538461538,1,6,FALSE,6,5,1,6,0,3,"Small high-growth","Small high-growth"
36,"Sang Eun Woo",16,6.1875,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
37,"Margaret Beier",22,5.81818181818182,1,8,FALSE,8,7,1,8,0,2,"Moderate-to-high rising","Moderate-to-high rising"
38,"Mikki Hebl",28,3.92857142857143,1,7,FALSE,7,6,1,7,0,4,"Low-to-moderate rising","Low-to-moderate rising"
39,"Eden King",20,0.75,1,6,FALSE,6,5,1,6,0,1,"Very low-output","Very low-output"
40,"Danielle King",8,5.125,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
41,"Fred Oswald",28,0.392857142857143,1,9,FALSE,9,8,1,9,0,1,"Very low-output","Very low-output"
42,"Rebecca Brossoit",5,0,0,NA,FALSE,NA,NA,0,5,1,1,"Very low-output","Very low-output"
43,"TianJun Sun",5,12.2,0,NA,FALSE,NA,NA,0,5,1,3,"Small high-growth","Small high-growth"
44,"Leo Alexander III",4,0.75,0,NA,FALSE,NA,NA,0,4,1,4,"Low-to-moderate rising","Low-to-moderate rising"
45,"Fritz Drasgow",40,7.325,1,5,FALSE,5,4,1,5,0,2,"Moderate-to-high rising","Moderate-to-high rising"
46,"Louise Fitzgerald",27,4.07407407407407,1,6,FALSE,6,5,1,6,0,4,"Low-to-moderate rising","Low-to-moderate rising"
47,"Hanyi Haylee Min",8,4.75,0,NA,FALSE,NA,NA,0,8,1,2,"Moderate-to-high rising","Moderate-to-high rising"
48,"Daniel A Newman",21,6.57142857142857,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
49,"James Rounds",44,4.20454545454546,1,6,FALSE,6,5,1,6,0,4,"Low-to-moderate rising","Low-to-moderate rising"
50,"Malissa Clark",16,5.6875,1,10,FALSE,10,9,1,10,0,2,"Moderate-to-high rising","Moderate-to-high rising"
51,"Yimin He",3,6.66666666666667,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
52,"Jeffrey Olenick",6,4.66666666666667,0,NA,FALSE,NA,NA,0,6,1,2,"Moderate-to-high rising","Moderate-to-high rising"
53,"Neal Outland",7,0.857142857142857,0,NA,FALSE,NA,NA,0,7,1,4,"Low-to-moderate rising","Low-to-moderate rising"
54,"Melissa Robertson",6,1.5,0,NA,FALSE,NA,NA,0,6,1,4,"Low-to-moderate rising","Low-to-moderate rising"
55,"Afra Saeed Ahmad",10,2.1,1,4,FALSE,4,3,1,4,0,4,"Low-to-moderate rising","Low-to-moderate rising"
56,"Reeshad S. Dalal",23,5.52173913043478,1,9,FALSE,9,8,1,9,0,2,"Moderate-to-high rising","Moderate-to-high rising"
57,"Seth Kaplan",20,5.6,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
58,"Lauren E. Kuykendall",11,3.27272727272727,1,7,FALSE,7,6,1,7,0,4,"Low-to-moderate rising","Low-to-moderate rising"
59,"Yijue Liang",4,3,0,NA,FALSE,NA,NA,0,4,1,2,"Moderate-to-high rising","Moderate-to-high rising"
60,"Deborah E. Rupp",24,9.91666666666667,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
61,"Sarah Wittman",8,3.5,0,NA,FALSE,NA,NA,0,8,1,2,"Moderate-to-high rising","Moderate-to-high rising"
62,"James LeBreton",24,5.875,1,5,FALSE,5,4,1,5,0,2,"Moderate-to-high rising","Moderate-to-high rising"
64,"Alicia Grandey",27,5.18518518518519,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
68,"Mark Ehrhart",25,0.08,1,7,FALSE,7,6,1,7,0,1,"Very low-output","Very low-output"
69,"Barbara Fritzsche",30,0.333333333333333,1,7,FALSE,7,6,1,7,0,1,"Very low-output","Very low-output"
70,"Chelsea LeNoble",7,3.85714285714286,0,NA,FALSE,NA,NA,0,7,1,2,"Moderate-to-high rising","Moderate-to-high rising"
71,"Mindy Shoss",15,0,1,5,FALSE,5,4,1,5,0,1,"Very low-output","Very low-output"
72,"Shiyang Su",8,2.375,0,NA,FALSE,NA,NA,0,8,1,4,"Low-to-moderate rising","Low-to-moderate rising"
73,"Brent Reed",13,0.1,1,5,FALSE,5,4,1,5,0,1,"Very low-output","Very low-output"
74,"Alyssa McGonagle",15,4.4,1,10,FALSE,10,9,1,10,0,2,"Moderate-to-high rising","Moderate-to-high rising"
77,"Vicki Magley",29,3.68965517241379,1,10,FALSE,10,9,1,10,0,4,"Low-to-moderate rising","Low-to-moderate rising"
78,"Lorena Solis",3,0,0,NA,FALSE,NA,NA,0,3,1,1,"Very low-output","Very low-output"
79,"Asia A. Eaton",14,6,1,8,FALSE,8,7,1,8,0,2,"Moderate-to-high rising","Moderate-to-high rising"
80,"Don Zhang",10,4.8,1,7,FALSE,7,6,1,7,0,2,"Moderate-to-high rising","Moderate-to-high rising"
81,"Vanessa Burke",4,1.5,0,NA,FALSE,NA,NA,0,4,1,4,"Low-to-moderate rising","Low-to-moderate rising"
82,"Haley Cobb",3,6,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
83,"Dev Dalal",14,0.142857142857143,1,10,FALSE,10,9,1,10,0,1,"Very low-output","Very low-output"
84,"Sylvia Roch",29,2.6551724137931,1,11,FALSE,11,10,1,11,0,4,"Low-to-moderate rising","Low-to-moderate rising"
85,"Kevin Williams",42,6.69047619047619,1,9,FALSE,9,8,1,9,0,2,"Moderate-to-high rising","Moderate-to-high rising"
87,"Jinyan Fan",22,4.04545454545455,1,9,FALSE,9,8,1,9,0,2,"Moderate-to-high rising","Moderate-to-high rising"
88,"Gargi Sawhney",7,4.71428571428571,1,6,FALSE,6,5,1,6,0,2,"Moderate-to-high rising","Moderate-to-high rising"
89,"John Schmidt",3,0.333333333333333,0,NA,FALSE,NA,NA,0,3,1,1,"Very low-output","Very low-output"
90,"Paige Watson",3,4.66666666666667,0,NA,FALSE,NA,NA,0,3,1,2,"Moderate-to-high rising","Moderate-to-high rising"
