"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
111,1,0.99999999985213,1.14811721364581e-28,1.73389704652695e-100,1.47870125488311e-10,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
32,1,0.991539515722746,9.06832164964512e-07,1.25921818555797e-11,0.00845957743249683,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
69,1,1,2.04329569371846e-54,0,1.63331368742905e-19,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,1,0.999999999997497,3.45962371184022e-33,3.32171371913451e-127,2.50256215958801e-12,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,1,0.999994163075387,2.23152818868195e-16,1.53344610292643e-44,5.83692461269349e-06,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
13,1,0.999968076221267,8.65362154548112e-14,2.12116861549115e-30,3.19237786466764e-05,"Chris Wiese","Georgia institute of technology",2018,0,8,1,0
10,1,0.999999999205791,1.34491548174778e-26,8.51854749214395e-90,7.94208949225883e-10,"Christopher Nye","Michigan State University",2011,0,15,1,0.0666666666666667
119,1,1,8.84722954417414e-63,0,2.92084555058344e-25,"Cindy Pury","Clemson University",1997,0,29,2,0.0344827586206897
97,1,0.997694899512611,1.88042644900967e-08,2.02847183372419e-15,0.0023050816831221,"Danielle Gardner","Colorado State University",2021,0,5,0,0
83,1,0.999999960125358,6.20085169223071e-23,1.68944165555159e-75,3.98746420236345e-08,"Dev Dalal","University at Albany, SUNY",2012,0,14,1,0.142857142857143
39,1,0.999782917784182,1.21065669848961e-20,3.03593601803512e-124,0.000217082215818225,"Eden King","Rice University",2006,0,20,2,0.75
112,1,0.999999999493757,7.8118225024788e-36,1.07456550765919e-279,5.06242612847164e-10,"Eric Day","University of Oklahoma",1998,0,27,2,0.851851851851852
41,1,0.999999999999993,4.34172446687262e-45,2.20346317668217e-297,6.80641558245625e-15,"Fred Oswald","Rice University",1998,0,28,2,0.392857142857143
124,1,0.923692362189688,1.31147605858718e-18,4.48514066795391e-156,0.076307637810312,"Gelaye Debebe","George Washington University",2003,0,23,1,1.39130434782609
99,1,0.996806350582406,1.87271043525402e-13,8.14942004528066e-53,0.00319364941740656,"Gwen Fisher","Colorado State University",2013,0,13,2,0.692307692307692
114,1,1,1.26255685806468e-45,1.26482787106706e-215,1.6183710620789e-17,"Jennifer Kisamore","University of Oklahoma",2003,0,23,2,0.0434782608695652
89,1,0.866735222401166,0.000763645836037232,6.73220163969429e-07,0.132500458542633,"John Schmidt","Auburn University",2023,0,3,0,0.333333333333333
4,1,0.999968076221267,8.65362154548112e-14,2.12116861549115e-30,3.19237786466764e-05,"Kimberly French","Colorado State University",2018,0,8,1,0
110,1,1,3.66476051616159e-57,0,2.25892179740374e-22,"Kristin Sommer","CUNY Graduate Center",1998,0,28,2,0.142857142857143
78,1,0.971097771363195,3.87934991664451e-05,2.26197169328852e-08,0.0288634125179218,"Lorena Solis","University of Connecitcut",2023,0,3,0,0
68,1,1,1.93420868250214e-50,3.83760202125462e-259,1.51219990829069e-19,"Mark Ehrhart","University of Central Florida",2001,0,25,2,0.08
26,1,0.999999999221141,4.8897322713745e-28,1.67197163270551e-108,7.78858464379374e-10,"Michael Gillespie","University of South Florida",2009,0,17,1,0.176470588235294
71,1,0.999999999850936,5.87745697501255e-28,1.76371136098352e-91,1.49063633354661e-10,"Mindy Shoss","University of Central Florida",2011,0,15,2,0
115,1,0.645885334735713,0.00128269303673782,3.37792988410121e-07,0.352831634434561,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
42,1,0.997694899512611,1.88042644900967e-08,2.02847183372419e-15,0.0023050816831221,"Rebecca Brossoit","Rice University",2021,0,5,0,0
25,1,0.999999999999983,1.58780373664148e-46,0,1.69581462962787e-14,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
14,1,1,3.09969012901307e-94,0,5.59841778601982e-40,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
107,1,1,5.64884004371745e-51,1.49289916751041e-259,8.05424871601858e-20,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
64,2,9.75757191490303e-34,0.991058383436897,4.21103386907931e-127,0.00894161656310294,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
74,2,6.72743220464633e-16,0.919222340340697,7.96532010534969e-28,0.0807776596593022,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,2,3.21632158084011e-06,0.796126716073431,0.187022221047567,0.0168478465574207,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,2,3.96786275929785e-24,0.999992795633308,1.18129572661824e-15,7.20436669095477e-06,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,2,3.7727033625953e-25,0.999999780737513,2.47584202869946e-09,2.16786644879314e-07,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,2,2.43781212023145e-38,0.999999986538967,8.31195763464643e-56,1.34610324663084e-08,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,2,8.77915235020163e-12,0.989625387223096,3.11609010505338e-08,0.0103745816072242,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
