"parameter","coef","Se","wald_z","p_value","sig"
"intercept class1",10.30523,0,Inf,0,"***"
"intercept class2",4.75737,0,Inf,0,"***"
"intercept class3",1.18894,0.00037,3185.493,0,"***"
"intercept class4",4.66916,0.00036,13134.052,0,"***"
"career_year class1",1.77471,0.00205,865.972,0,"***"
"career_year class2",-2.13114,0,-Inf,0,"***"
"career_year class3",-0.03724,4e-05,-923.091,0,"***"
"career_year class4",0.05713,0,Inf,0,"***"
"I(career_year^2) class1",-0.08295,0.0155,-5.351,0,"***"
"I(career_year^2) class2",0.2472,0,Inf,0,"***"
"I(career_year^2) class3",0.003,0.00566,0.531,0.59573,""
"I(career_year^2) class4",0.00372,0.00072,5.142,0,"***"
