"parameter","coef","Se","wald_z","p_value","sig"
"intercept class1",1.0432,0.01095,95.306,0,"***"
"intercept class2",3.09531,0,Inf,0,"***"
"intercept class3",0.10032,0,Inf,0,"***"
"intercept class4",2.08572,0,Inf,0,"***"
"career_year class1",0.0473,0,Inf,0,"***"
"career_year class2",-0.06387,0,-Inf,0,"***"
"career_year class3",0.01347,0.00027,49.929,0,"***"
"career_year class4",0.02704,0,Inf,0,"***"
"I(career_year^2) class1",-0.00048,0,-Inf,0,"***"
"I(career_year^2) class2",0.01439,3e-04,48.584,0,"***"
"I(career_year^2) class3",-0.00019,0,-Inf,0,"***"
"I(career_year^2) class4",0.00012,0.00023,0.523,0.60065,""
