"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","posterior_class_5","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
64,1,0.999305293949363,0.000694706050636624,7.58981365095295e-39,5.51770886004552e-22,2.36669506894123e-177,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
74,1,0.982354961455928,0.0176450385440721,2.33638904023684e-18,2.93296091970391e-17,8.39900539125659e-19,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,1,0.985276606736457,0.0126006348496725,8.97699992230741e-07,0.0021218497194741,1.09944041045321e-08,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,1,0.999998910712079,1.08836425308175e-06,3.30232240096804e-27,9.2348498167479e-10,1.83210341088062e-13,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,1,0.99983898361339,3.55577951345511e-08,4.41957085335507e-28,0.000160980828814446,6.22469966359396e-16,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,1,0.999999992498027,9.383403255187e-10,3.40249250096899e-43,6.56363294208422e-09,5.83341941266058e-71,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,1,0.996596676541169,0.00340332233776111,2.20111057671706e-13,4.90414460302013e-10,6.30435504300902e-10,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
70,1,0.9663556392215,0.0336442866641742,3.22077065629849e-09,1.20421415599399e-09,6.96893409677008e-08,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
7,1,0.999999897113943,2.60441643939302e-11,2.25523458454381e-47,1.02860012578626e-07,3.05375504695816e-61,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
30,1,0.98584760962925,0.0101214421802337,5.94593861025143e-07,0.00403035216917564,1.42747894431323e-09,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,1,0.99999999648645,2.96911980599178e-09,4.10444759977284e-42,5.44429976997435e-10,4.79329364591577e-69,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
27,1,0.761971704820862,0.237096394793671,0.000922089773625015,3.60756569093675e-06,6.20304615081878e-06,"Daniel Griffin","University of South Florida",2023,0,3,0,3
40,1,0.994070242412854,0.00592971399943619,6.20817977457091e-12,1.55798343994632e-09,4.20235177778081e-08,"Danielle King","Rice University",2018,0,8,1,5.125
22,1,0.994326770338494,0.00566096862455359,3.08136291421256e-09,1.22542461718002e-05,3.70941749336784e-09,"Denise Reyes","University of Houston",2021,0,5,0,5.2
106,1,0.729576546575506,0.270218104039134,0.000197957430424925,8.1077802462058e-08,7.31087713300467e-06,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
80,1,0.99837960369362,0.00162038213414082,3.0650199161692e-15,7.84091333380733e-11,1.40938266829956e-08,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,1,0.99972363905381,8.06245407321012e-06,1.70056554295005e-18,0.000268298487808577,4.30793054118402e-12,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,1,0.99999999998211,2.68823883371529e-12,8.29994174689497e-84,1.5202166918369e-11,0,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,1,0.996906454969164,0.00309344461106874,1.16229106048606e-11,7.35555670344906e-08,2.68525774063223e-08,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,1,0.983545776244493,0.0148530933553585,1.3219666164524e-06,0.00159979668344531,1.17500868530549e-08,"Haley Cobb","Louisiana State University",2023,0,3,0,6
47,1,0.991958925394619,0.00804106400967818,1.3806872010008e-11,1.15881529553164e-09,9.42308057694247e-09,"Hanyi Haylee Min","University of Illinois Urbana-Champaign",2018,0,8,0,4.75
20,1,0.972707071016954,0.0272928908392814,2.36392899198641e-12,6.34000930475476e-13,3.81407669196987e-08,"Isaac Sabat","University of Houston",2016,0,10,1,4
62,1,0.999996110341915,3.88965806736833e-06,2.14334930770037e-38,1.8047206962982e-14,9.88179738182491e-131,"James LeBreton","Pennsylvania State University",2002,0,24,2,5.875
52,1,0.990850825213669,0.009148935698814,1.19259089445985e-09,2.1343256015045e-07,2.44623661570657e-08,"Jeffrey Olenick","University of Georgia",2020,0,6,0,4.66666666666667
118,1,0.985128733655098,0.012192042730725,8.88519154181716e-07,0.00267833209121499,3.00380805870533e-09,"Jenna Van Fossen","Clemson University",2023,0,3,0,6
87,1,0.93033518634336,0.0696648136566398,2.29222468521824e-25,1.20633813654824e-20,5.20386962850723e-97,"Jinyan Fan","Auburn University",2004,0,22,2,4.04545454545455
98,1,0.847603286279991,0.152312942886327,9.34678256809447e-08,2.67167099296881e-11,8.36773391396909e-05,"Josh Prasad","Colorado State University",2019,0,7,0,3.28571428571429
21,1,0.972972255148637,0.0264270539655693,5.18848978479958e-06,0.00059548899585028,1.34001589544947e-08,"Kaylee Litson","University of Houston",2023,0,3,0,5
96,1,0.991762188926661,0.00823731375238286,1.01600405766168e-10,9.82165660602639e-09,4.87397698609954e-07,"Keaton Fletcher","Colorado State University",2019,0,7,0,5.28571428571429
8,1,0.999999999999569,4.30765613580297e-13,4.58749256226105e-104,1.58101256553539e-41,0,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
9,1,0.997103722924936,0.00289615639936258,9.69242614767904e-12,7.64973204825599e-08,4.41686887349615e-08,"Kevin Hoff","Michigan State University",2019,0,7,0,5
85,1,0.99999998768343,1.23165694967556e-08,1.94760405234876e-80,7.09614592765742e-20,0,"Kevin Williams","University at Albany, SUNY",1984,0,42,2,6.69047619047619
92,1,0.981802004081769,0.000757007895002571,2.5508024634439e-10,0.0174409877579946,1.01534236128883e-11,"Louis Hickman","Virginia Tech",2022,0,4,0,7.25
50,1,0.999998366004629,1.63384225872756e-06,9.0890557412299e-29,1.53112475663633e-10,4.57975323472733e-30,"Malissa Clark","University of Georgia",2010,0,16,2,5.6875
37,1,0.999999761590272,2.38409701268629e-07,2.62918959305361e-39,2.65672323892142e-14,9.02126833396225e-78,"Margaret Beier","Rice University",2004,0,22,2,5.81818181818182
121,1,0.999940376324168,5.96232825290436e-05,2.30748000882313e-21,3.93302612769478e-10,4.00293633571622e-22,"Marissa Shuffler","Clemson University",2013,0,13,2,5.46153846153846
2,1,0.999984983692068,1.73470401390645e-11,4.36831201099761e-47,1.5016290584974e-05,8.40124600866487e-75,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,1,0.999999712649045,8.38196196107476e-09,2.372378484525e-34,2.78968992772005e-07,1.25563829458976e-26,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
90,1,0.949819790898213,0.0500201945743894,2.11763885640114e-05,0.00013867060499828,1.67533835681723e-07,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,1,0.999952198997987,4.78010020134121e-05,7.21156212776653e-30,7.23302038789789e-17,1.82239301473935e-38,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
56,1,0.999999066004802,9.33995153877286e-07,9.45529819253791e-39,4.41014014971833e-14,2.0693853056945e-105,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
122,1,0.999999999762624,2.3440635354876e-10,6.10271673004466e-53,2.96964466690527e-12,1.89545785148944e-144,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,1,0.99999946278381,5.37184088356416e-07,1.85440323144294e-30,3.21021788894223e-11,1.82264576835402e-19,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,1,0.859640266031361,0.138824427717496,7.43237886921724e-09,1.41903158910694e-12,0.00153529881734556,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,1,0.999999578990317,4.21006214321949e-07,2.34996575877139e-35,3.46841229991034e-12,1.27287172742836e-62,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,1,0.999999999845395,1.53439536351745e-10,3.37713228637209e-52,1.16583639131803e-12,1.3419738595425e-114,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
17,1,0.999999985120284,1.48796821718259e-08,2.59436570323831e-48,3.37114844597525e-14,1.19468937194192e-151,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,1,0.999977479263347,2.25207366526447e-05,7.37708964540586e-37,2.03987835723561e-16,1.17715933044395e-125,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
59,1,0.688403067463571,0.311288080916406,0.000275864469455538,4.4493093138039e-08,3.29426574736228e-05,"Yijue Liang","George Mason University",2022,0,4,0,3
51,1,0.981221037843475,0.00555285496848036,1.57619132207709e-07,0.0132259492815648,2.87347449689567e-10,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,1,0.999916827708234,8.27717480600911e-05,4.30556356013508e-17,4.0053716851602e-07,6.53779604662384e-12,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
18,1,0.903057706939277,0.0969374681366946,2.02375464235755e-06,3.64927094198578e-08,2.76467667707601e-06,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
55,2,0.00126347102747267,0.998619424401753,0.000117104569236879,7.3092522839468e-23,1.53769930864562e-12,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
100,2,3.47360950181576e-07,0.999943091538267,5.65611007826373e-05,7.96542813059565e-32,2.13685006508149e-77,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,2,6.79856809408066e-08,0.999999932014319,2.05424355184952e-19,4.64693136799547e-40,1.89032890969031e-227,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,2,0.0290631915518692,0.827881835487,0.141058536086027,7.96371462934617e-13,0.0019964368743074,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
67,2,0.00454274614092428,0.99545725374188,1.17195592560325e-10,3.19766354384639e-25,1.18399973849426e-28,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,2,0.00148038641528891,0.998519613584711,6.18790965220053e-19,9.75444499325812e-27,1.08508418023335e-141,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
101,2,0.0226447648937472,0.977127018677797,7.96204674487184e-08,1.19693775796483e-21,0.000228136807987995,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
49,2,4.66194124355355e-13,0.999999999999534,4.22805145710617e-43,5.33602080640157e-48,0,"James Rounds","University of Illinois Urbana-Champaign",1982,0,44,2,4.20454545454546
58,2,0.224561284966408,0.775438708642658,6.39033446551052e-09,1.54530816349204e-17,6.00653828175686e-13,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
44,2,0.00702672530997154,0.598168604736218,0.364600783501286,1.8205166452309e-14,0.0302038864525063,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
46,2,0.000766397271761441,0.999233602728238,1.36968884467381e-26,7.88755517910474e-34,2.37304191993777e-191,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
54,2,0.0138092827501989,0.974042186934852,0.0116688731186595,1.93598882334432e-16,0.000479657196289692,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
38,2,2.55692077916584e-11,0.999999999974431,9.46526224974819e-19,1.30341104441218e-55,8.12322385076819e-213,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,2,0.245476993240691,0.754523006759309,1.31027033332466e-26,4.66242703882932e-25,1.70814335307615e-151,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
53,2,0.000124728384268821,0.703608274619144,0.261877623891324,2.31931875035124e-23,0.0343893731052635,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
93,2,0.0165348990412002,0.755014899650069,0.21507488054872,1.49144603360244e-13,0.0133753207598615,"Ning Hsu","Virginia Tech",2022,0,4,0,1
11,2,5.80813826891326e-09,0.999999994191862,1.29343746475693e-18,1.29083316947155e-44,6.56117010292444e-216,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
24,2,6.81550503096399e-17,0.999999999846217,1.53782973207094e-10,1.81013761577194e-55,0,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,2,0.151991049532468,0.8479986172645,7.07192052045598e-06,1.42897970655839e-15,3.26128251069674e-06,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
29,2,2.56361675690967e-14,0.999999999999974,3.71212345082896e-41,1.05892145289134e-50,0,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,2,3.01165970968094e-13,0.999999999999609,8.99978650984728e-14,3.65802491687964e-50,0,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
126,2,0.471244440376628,0.527158085456008,0.00155986619711757,6.47322006030181e-09,3.76014970263688e-05,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
81,2,0.0459617935772427,0.865321308033467,0.0793168886778246,2.12838810796131e-12,0.0094000097093371,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,2,5.75354499607903e-06,0.999994246455004,9.4978896447698e-25,7.3675372314421e-34,1.66619358284037e-294,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
