"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
1,1,0.999999999869428,1.7952378366652e-22,4.79844009798972e-20,1.30572210078268e-10,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
16,1,0.996590447597455,6.51522872388441e-08,3.86739130533762e-07,0.00340910051112717,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,1,1,1.22405000609175e-42,3.92102244208358e-65,2.85195178687942e-37,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
125,1,1,0,2.21960697292696e-81,1.83002627572412e-38,"Nils Olsen","George Washington University",2002,0,24,1,15
43,1,0.999925641654853,3.25003311252039e-13,5.76205615525806e-11,7.43582872009772e-05,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,1,1,5.32854115827266e-30,1.16602996814179e-27,8.07002150263007e-17,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
116,2,0,1,0,0,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
111,3,2.06273872365137e-87,1.48572323327599e-58,0.999999984770675,1.5229325056148e-08,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
55,3,5.28324360374638e-41,0.000380197834430689,0.968464871672963,0.0311549304926066,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
32,3,2.01622430532838e-15,0.0206547774102422,0.947685899717821,0.0316593228719351,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
100,3,4.61946494380282e-58,1.99843074711094e-154,0.999838687988561,0.000161312011439241,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,3,8.80606965466032e-69,0,0.999990278230931,9.72176906868383e-06,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,3,2.63725697748643e-13,0.0216498311487263,0.85557810672586,0.12277206212515,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
69,3,4.34218314032079e-110,0,1,1.24245398542835e-21,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,3,3.20925544167276e-96,7.55851595301033e-122,0.999999999510454,4.89545611502458e-10,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,3,1.13075255077835e-50,3.68791277804941e-09,0.999940143762584,5.98525495034986e-05,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
67,3,4.52654499060484e-60,9.46328310836132e-33,0.9682186558796,0.0317813441204004,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,3,2.73738245015674e-61,0,0.947954092830662,0.0520459071693382,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
13,3,3.63763624697968e-38,0.0131472573423464,0.986302520431807,0.000550222225846049,"Chris Wiese","Georgia institute of technology",2018,0,8,1,0
10,3,2.01620601701092e-82,2.73983159570109e-39,0.999999929657656,7.03423439701014e-08,"Christopher Nye","Michigan State University",2011,0,15,1,0.0666666666666667
119,3,4.66693051248491e-108,0,1,4.1724637561949e-22,"Cindy Pury","Clemson University",1997,0,29,2,0.0344827586206897
101,3,5.9805823883796e-40,0.000699716874179867,0.690733751010507,0.308566532115313,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
97,3,2.07077444777005e-20,0.0219658818044341,0.965682179251141,0.0123519389444254,"Danielle Gardner","Colorado State University",2021,0,5,0,0
83,3,5.26656398713632e-76,1.72589354562121e-25,0.999999537199758,4.62800242391228e-07,"Dev Dalal","University at Albany, SUNY",2012,0,14,1,0.142857142857143
106,3,1.07714754837294e-10,0.0118456993371789,0.532343892626607,0.4558104079285,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
39,3,1.32729974268172e-94,2.65295234558198e-227,0.999999998480877,1.51912337854391e-09,"Eden King","Rice University",2006,0,20,2,0.75
112,3,2.0907213067696e-96,0,1,2.59242459789346e-16,"Eric Day","University of Oklahoma",1998,0,27,2,0.851851851851852
41,3,2.58776024065284e-104,0,1,1.03088799248102e-18,"Fred Oswald","Rice University",1998,0,28,2,0.392857142857143
124,3,1.76722149437883e-89,0,0.999999997936645,2.06335544678104e-09,"Gelaye Debebe","George Washington University",2003,0,23,1,1.39130434782609
99,3,4.43580361546379e-66,3.79459337619833e-15,0.999980450577362,1.95494226337799e-05,"Gwen Fisher","Colorado State University",2013,0,13,2,0.692307692307692
49,3,0,0,0.999999999998558,1.44166062652712e-12,"James Rounds","University of Illinois Urbana-Champaign",1982,0,44,2,4.20454545454546
114,3,9.7326684444143e-107,0,0.999999999999987,1.31017589586404e-14,"Jennifer Kisamore","University of Oklahoma",2003,0,23,2,0.0434782608695652
89,3,1.13697618420407e-10,0.0210112191030944,0.880744515335862,0.0982442654473458,"John Schmidt","Auburn University",2023,0,3,0,0.333333333333333
4,3,3.63763624697968e-38,0.0131472573423464,0.986302520431807,0.000550222225846049,"Kimberly French","Colorado State University",2018,0,8,1,0
110,3,4.12622828293849e-105,0,1,3.2913147771531e-20,"Kristin Sommer","CUNY Graduate Center",1998,0,28,2,0.142857142857143
44,3,4.98165990728707e-14,0.0181981236901659,0.907731237158935,0.074070639150849,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
78,3,4.96331399791273e-11,0.0188506362593078,0.905025938342886,0.0761234253481728,"Lorena Solis","University of Connecitcut",2023,0,3,0,0
