"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","posterior_class_5","posterior_class_6","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
1,1,0.999998225145694,7.40930271272805e-36,7.77716486811315e-16,1.7748543052294e-06,2.43758956070776e-27,5.30039947157294e-34,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
60,1,0.9328161485565,9.84172966932139e-37,3.6945047053847e-20,0.0671838514435,8.50582624905653e-100,1.18776620794372e-77,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
16,1,0.991652690241421,3.15281644300055e-19,2.07144422845002e-07,0.00834710261415509,4.69269631194354e-19,8.04340525162475e-16,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,1,1,6.91323381183826e-71,2.38246700880139e-40,4.23569220192487e-18,1.27916781614801e-30,2.53279671501228e-86,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
125,1,1,1.91839140923631e-77,2.94129642830354e-51,1.06517351713284e-20,2.17293133465265e-110,3.15671551707749e-127,"Nils Olsen","George Washington University",2002,0,24,1,15
5,1,0.999959526286559,3.23913166942024e-44,1.34367089473688e-21,4.04737134409454e-05,1.12737132514659e-30,8.3099988005332e-65,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
43,1,0.990503428048552,1.92234752049624e-24,4.15738682487113e-09,0.00949656779406123,2.7715090905462e-19,4.00200179681463e-22,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,1,0.999999995855778,4.66868291197435e-40,4.09724152865569e-19,4.14422174126645e-09,3.55511184330973e-34,6.58809870682147e-37,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
8,2,6.44596346249946e-70,1,2.19167678402239e-42,6.77001443706285e-33,0,9.77839216586326e-139,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
38,2,5.72409012146268e-68,0.999999992330921,7.66907890032813e-09,8.19696286407854e-21,3.39206692954387e-240,1.44951064658412e-27,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
55,3,5.29339630605217e-25,7.84115146303017e-07,0.999768574190364,0.000181045122257092,1.68856661234026e-13,4.95965720634208e-05,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
