"n_classes","log_lik","AIC","BIC","entropy","ave_pp","n_params"
1,-2998.18256605604,6002.36513211208,6010.57372745726,NA,NA,NA
2,-2518.62711882778,5049.25423765555,5065.67142834592,0.9357,0.9743,NA
3,-2359.12179089968,4736.24358179937,4760.86936783492,0.9337,0.9793,NA
4,-2233.2047652389,4490.4095304778,4523.24391185853,0.8881,0.937,NA
5,-2134.30698603264,4298.61397206528,4339.6569487912,0.9232,0.9161,NA
6,-2058.87802812763,4153.75605625526,4203.00762832636,0.92,0.9423,NA
7,-2047.52830278604,4137.05660557207,4194.51677298836,0.8832,0.9067,NA
8,-2036.97163826504,4121.94327653008,4187.61203929154,0.8584,0.8849,NA
9,-2028.47601277958,4110.95202555917,4184.82938366582,0.8594,0.8717,NA
10,-2021.2531129382,4102.50622587641,4184.59217932824,0.8252,0.8563,NA
11,-2018.20106605657,4102.40213211314,4192.69668091016,0.7761,0.8248,NA
