"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
111,1,0.999999958369962,4.16300383527624e-08,1.49039115376956e-85,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
55,1,0.97509664720936,0.0249033527906394,2.69588709144701e-16,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
32,1,0.961492092058403,0.0385079074012863,5.40310252915402e-10,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
100,1,0.999839103557665,0.00016089644233506,2.80574117966474e-152,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,1,0.999992757734539,7.24226546136249e-06,0,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,1,0.874255920974563,0.125744059702871,1.93225658073344e-08,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
69,1,1,8.30946074351768e-20,0,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,1,0.999999998282911,1.71708941685897e-09,5.55877400187639e-142,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,1,0.999900198046689,9.98019533111728e-05,5.37624946548289e-27,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
67,1,0.982312553176592,0.0176874468234081,7.53469799034715e-52,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,1,0.983310000516405,0.0166899994835946,0,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
13,1,0.999162693420377,0.000837306579623179,1.44688168173683e-16,"Chris Wiese","Georgia institute of technology",2018,0,8,1,0
10,1,0.999999826552856,1.73447143847474e-07,1.48564942523548e-66,"Christopher Nye","Michigan State University",2011,0,15,1,0.0666666666666667
119,1,1,3.21601985305015e-20,0,"Cindy Pury","Clemson University",1997,0,29,2,0.0344827586206897
101,1,0.799087739914079,0.200912260085921,3.30482698092115e-17,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
27,1,0.516004002069452,0.483987926165447,8.07176510070842e-06,"Daniel Griffin","University of South Florida",2023,0,3,0,3
97,1,0.984039163713026,0.0159608362669377,2.00366642769282e-11,"Danielle Gardner","Colorado State University",2021,0,5,0,0
83,1,0.999999004153454,9.95846545722644e-07,1.01657128355e-51,"Dev Dalal","University at Albany, SUNY",2012,0,14,1,0.142857142857143
106,1,0.591019181868928,0.408980073190787,7.44940285472516e-07,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
39,1,0.999999995904774,4.09522634925506e-09,1.07137978248482e-225,"Eden King","Rice University",2006,0,20,2,0.75
112,1,0.999999999999996,3.70019107870871e-15,0,"Eric Day","University of Oklahoma",1998,0,27,2,0.851851851851852
41,1,1,2.81935058175488e-17,0,"Fred Oswald","Rice University",1998,0,28,2,0.392857142857143
124,1,0.999999995342522,4.65747785456943e-09,0,"Gelaye Debebe","George Washington University",2003,0,23,1,1.39130434782609
99,1,0.999970507024328,2.94929756722001e-05,3.90707064520769e-38,"Gwen Fisher","Colorado State University",2013,0,13,2,0.692307692307692
49,1,0.999999999969763,3.02369898325856e-11,0,"James Rounds","University of Illinois Urbana-Champaign",1982,0,44,2,4.20454545454546
114,1,0.99999999999988,1.20170188492042e-13,0,"Jennifer Kisamore","University of Oklahoma",2003,0,23,2,0.0434782608695652
89,1,0.891396193254583,0.108603766892439,3.98529780578581e-08,"John Schmidt","Auburn University",2023,0,3,0,0.333333333333333
4,1,0.999162693420377,0.000837306579623179,1.44688168173683e-16,"Kimberly French","Colorado State University",2018,0,8,1,0
110,1,1,1.43532968755381e-18,0,"Kristin Sommer","CUNY Graduate Center",1998,0,28,2,0.142857142857143
58,1,0.609411184698597,0.390588815301403,3.25994198556206e-16,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
44,1,0.919245955867812,0.08075404028854,3.84364756345649e-09,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
78,1,0.913060330294008,0.0869396522115621,1.74944297816864e-08,"Lorena Solis","University of Connecitcut",2023,0,3,0,0
68,1,0.999999999999998,1.79200697499059e-15,0,"Mark Ehrhart","University of Central Florida",2001,0,25,2,0.08
54,1,0.935760605269837,0.064239394445043,2.85120261630516e-10,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
26,1,0.999999984345559,1.56544410425316e-08,1.87748958527386e-109,"Michael Gillespie","University of South Florida",2009,0,17,1,0.176470588235294
71,1,0.999999865481728,1.34518272258131e-07,7.09952214899076e-67,"Mindy Shoss","University of Central Florida",2011,0,15,2,0
53,1,0.987842010790473,0.012157989208827,7.00417520478587e-13,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
93,1,0.897554151844363,0.102445840458092,7.69754543293868e-09,"Ning Hsu","Virginia Tech",2022,0,4,0,1
115,1,0.918675758142951,0.0813242383086157,3.54843317884686e-09,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
11,1,0.999947271554962,5.27284450376288e-05,0,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
42,1,0.984039163713026,0.0159608362669377,2.00366642769282e-11,"Rebecca Brossoit","Rice University",2021,0,5,0,0
24,1,0.999999999997856,2.14413224574651e-12,0,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,1,0.875399194460223,0.124600805506193,3.35843459344829e-11,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
29,1,0.999999999983303,1.66965449587505e-11,0,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,1,0.99999998926725,1.07327495686357e-08,0,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
25,1,1,8.4112635189599e-19,0,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
126,1,0.710846067952218,0.289153672490425,2.59557356839898e-07,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
103,1,0.957948741559433,0.0420512583983464,4.22203115821883e-11,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
81,1,0.836359940079326,0.163640035652368,2.42683060163338e-08,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,1,0.999460600659701,0.000539399340298515,0,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
14,1,1,7.34354615786962e-36,0,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
59,1,0.515109669107049,0.484889452872549,8.78020402670787e-07,"Yijue Liang","George Mason University",2022,0,4,0,3
107,1,0.999999999999999,1.31662773570305e-15,0,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
64,2,1.16402035719332e-05,0.999988359796428,0,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
74,2,0.0103723979205911,0.989627602079409,4.10472313383047e-36,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,2,0.0725912506984551,0.9265131061769,0.000895643124644355,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,2,1.7543786604234e-05,0.999982456213396,1.04473468654404e-22,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,2,8.92086361646507e-07,0.999999107717788,1.95850718934865e-10,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,2,8.03059277130951e-10,0.999999999196941,1.63422149069342e-219,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,2,0.056290978587255,0.943709007526063,1.38866825187843e-08,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
70,2,0.23559583658156,0.764403902098392,2.61320047664666e-07,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
7,2,1.39428500970176e-10,0.999999999860572,3.92559724601272e-205,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
30,2,0.0981990149299822,0.900360511984862,0.00144047308515632,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,2,8.722793915586e-09,0.999999991277206,3.74402520776809e-212,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
40,2,0.0169129563164163,0.983086417691212,6.25992371453057e-07,"Danielle King","Rice University",2018,0,8,1,5.125
60,2,1.99862683053182e-21,1,0,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
22,2,0.0611329775433279,0.938802906968716,6.41154879563459e-05,"Denise Reyes","University of Houston",2021,0,5,0,5.2
80,2,0.0133729281777167,0.986627070746691,1.07559209200676e-09,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,2,0.000344652679465053,0.998409804819498,0.00124554250103697,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,2,1.33650032585683e-14,0.999999999999987,0,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,2,0.0502735128725629,0.949724185996749,2.30113068806881e-06,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,2,0.0936200537267502,0.905679709790621,0.000700236482629025,"Haley Cobb","Louisiana State University",2023,0,3,0,6
